HAddress,HAttractions,HGFW,HImages,HLanguage,HName,HPMax,HPMin,HPRange,HQuestions,HRImages,HRNumber,HRank,HRankreview,HRating,HRestaurants,HReview,HRoom,HStyles,HVideos,URL
,,,,,Safari Hotel TU Son,Thá»‹ Tran Nam Ban,,"Vietnam,,Thá»‹ Tran Nam Ban",,,,,,,,,Thá»‹ Tran Nam Ban,,,https://www.tripadvisor.com/Hotel_Review-g15295958-d23326618-Reviews-Safari_Hotel_TU_Son-Th_Tran_Nam_Ban_Lam_Dong_Province.html
"Tdp Ba Dinh 2., Thá»‹ Tran Nam Ban Vietnam",3,40,,,Nha nghi Song Anh,$14 ,,"$14, - ,$14","Which popular attractions are close to Nha nghi Song Anh?, ,What are some restaurants close to Nha nghi Song Anh?, ",,,,,,3,,Thá»‹ Tran Nam Ban,,,https://www.tripadvisor.com/Hotel_Review-g15295958-d18192878-Reviews-Nha_nghi_Song_Anh-Th_Tran_Nam_Ban_Lam_Dong_Province.html
"139/7 Xo Viet Nghe Tinh,Ward 7., 67000 Vietnam",,,,,Sun Valley Hotel Resort,Lam Dong,,"Vietnam,,Lam Dong","Which popular attractions are close to Sun Valley Hotel Resort?, ,What are some restaurants close to Sun Valley Hotel Resort?, ",,,,,,,,Lam Dong,,,https://www.tripadvisor.com/Hotel_Review-g298083-d21367603-Reviews-Sun_Valley_Hotel_Resort-Lam_Dong_Lam_Dong_Province.html
,,,,,La An Dalat Retreat,Lat,,"Vietnam,,Lat",,,,,,,,,13,,,https://www.tripadvisor.com/Hotel_Review-g15334653-d21286281-Reviews-La_An_Dalat_Retreat-Lat_Lam_Dong_Province.html
,,,,,Lat Valley,Lat,,"Vietnam,,Lat",,,,,,,,,Lat,,,https://www.tripadvisor.com/Hotel_Review-g15334653-d21401328-Reviews-Lat_Valley-Lat_Lam_Dong_Province.html
,,,,,Ankroet Camp ,Lat,,"Vietnam,,Lat",,,,,,,,,18,,,https://www.tripadvisor.com/Hotel_Review-g15334653-d21224084-Reviews-Ankroet_Camp_Da_Lat-Lat_Lam_Dong_Province.html
"Dang Gia and Duy Tan Street, Lac Duong 670000 Vietnam",,,,,Langbiang Art Station,$13 ,,"$11, - ,$13","Which popular attractions are close to Langbiang Art Station?, ,What are some of the property amenities at Langbiang Art Station?, ,What food & drink options are available at Langbiang Art Station?, ,What are some restaurants close to Langbiang Art Station?, ",,1 review,#1 of 1 hostel in Lac Duong,5,,,Excellent,2,,,https://www.tripadvisor.com/Hotel_Review-g14759657-d19507730-Reviews-Langbiang_Art_Station-Lac_Duong_Lam_Dong_Province.html
"127 Hoang Hoa Tham, Phuong 10,  670000 Vietnam",89,41,,,The Windy Villa,,,"Vietnam,,","Which popular attractions are close to The Windy Villa?, ,What are some restaurants close to The Windy Villa?, ",,,,,,508,,,,,https://www.tripadvisor.com/Hotel_Review-g293922-d23373316-Reviews-The_Windy_Villa-Da_Lat_Lam_Dong_Province.html
"Bi Doup, Lac Duong Vietnam",5,93,,,Thanh Ngoc Hotel,Lac Duong,,"Vietnam,,Lac Duong","Which popular attractions are close to Thanh Ngoc Hotel?, ,What are some restaurants close to Thanh Ngoc Hotel?, ",,,,,,67,,Lac Duong,,,https://www.tripadvisor.com/Hotel_Review-g14759657-d13991870-Reviews-Thanh_Ngoc_Hotel-Lac_Duong_Lam_Dong_Province.html
"A14, Lac Duong Vietnam",5,93,,,Hotel Ngoc Thanh,Lac Duong,,"Vietnam,,Lac Duong","Which popular attractions are close to Hotel Ngoc Thanh?, ,What food & drink options are available at Hotel Ngoc Thanh?, ,What are some restaurants close to Hotel Ngoc Thanh?, ",,,,,,67,,Lac Duong,,,https://www.tripadvisor.com/Hotel_Review-g14759657-d13991956-Reviews-Hotel_Ngoc_Thanh-Lac_Duong_Lam_Dong_Province.html
